camera_id,direction,camera_name,image_id,long,lat,elevation,geometry.type,geometry.coordinates,x_resolution,y_resolution,center_lat,center_long,properties.description.url
hpwren27_south,south,Sky Oaks,sojr-s-mobo-c,-116.6222928,33.37865603,4975.0,Point,"[-116.6223, 33.3787, 4975]",3072.0,2048.0,33.37452052,-116.6221394,http://hpwren.ucsd.edu/cameras/SkyOaksJR.html
hpwren27_west,west,Sky Oaks,sojr-w-mobo-c,-116.6222928,33.37865603,4975.0,Point,"[-116.6223, 33.3787, 4975]",3072.0,2048.0,33.37855199,-116.6258053,http://hpwren.ucsd.edu/cameras/SkyOaksJR.html
hpwren28_north,north,Toro Peak,tp-n-mobo-c,-116.4257027,33.52353103,8800.0,Point,"[-116.4257, 33.5235, 8800]",3072.0,2048.0,33.77724869,-116.4184919,http://hpwren.ucsd.edu/cameras/ToroPeak.html
hpwren28_east,east,Toro Peak,tp-e-mobo-c,-116.4257027,33.52353103,8800.0,Point,"[-116.4257, 33.5235, 8800]",3072.0,2048.0,33.52623974,-116.1473642,http://hpwren.ucsd.edu/cameras/ToroPeak.html
hpwren28_south,south,Toro Peak,tp-s-mobo-c,-116.4257027,33.52353103,8800.0,Point,"[-116.4257, 33.5235, 8800]",3072.0,2048.0,33.27637745,-116.3898008,http://hpwren.ucsd.edu/cameras/ToroPeak.html
hpwren28_west,west,Toro Peak,tp-w-mobo-c,-116.4257027,33.52353103,8800.0,Point,"[-116.4257, 33.5235, 8800]",3072.0,2048.0,33.50062934,-116.6702284,http://hpwren.ucsd.edu/cameras/ToroPeak.html
hpwren29_north,north,Upper Bell,starr-n-mobo-c,-117.5486414,33.61244314,1000.0,Point,"[-117.5486, 33.6124, 1000]",3072.0,2048.0,33.61537688,-117.5489481,http://hpwren.ucsd.edu/cameras/UpperBell.html
hpwren29_east,east,Upper Bell,starr-e-mobo-c,-117.5486414,33.61244314,1000.0,Point,"[-117.5486, 33.6124, 1000]",3072.0,2048.0,33.61412883,-117.5155022,http://hpwren.ucsd.edu/cameras/UpperBell.html
hpwren29_south,south,Upper Bell,starr-s-mobo-c,-117.5486414,33.61244314,1000.0,Point,"[-117.5486, 33.6124, 1000]",3072.0,2048.0,33.59300023,-117.5467179,http://hpwren.ucsd.edu/cameras/UpperBell.html
hpwren29_west,west,Upper Bell,starr-w-mobo-c,-117.5486414,33.61244314,1000.0,Point,"[-117.5486, 33.6124, 1000]",3072.0,2048.0,33.61068023,-117.5713795,http://hpwren.ucsd.edu/cameras/UpperBell.html
hpwren30_north,north,Upper Talega,marconi-n-mobo-c,-117.480907,33.51912725,2300.0,Point,"[-117.481, 33.5191, 2300]",3072.0,2048.0,33.5244452,-117.4811579,http://hpwren.ucsd.edu/cameras/UpperTalega.html
hpwren30_east,east,Upper Talega,marconi-e-mobo-c,-117.480907,33.51912725,2300.0,Point,"[-117.481, 33.5191, 2300]",3072.0,2048.0,33.51918603,-117.4783761,http://hpwren.ucsd.edu/cameras/UpperTalega.html
